subject,subset,t2.dice,t2.voxel_sensitivity,t2.lesion_sensitivity,t2.nlesions_gt,t2.voxel_precision,t2.lesion_precision,t2.nlesions_seg,t2s.dice,t2s.voxel_sensitivity,t2s.lesion_sensitivity,t2s.nlesions_gt,t2s.voxel_precision,t2s.lesion_precision,t2s.nlesions_seg,t2.true_negative,t2s.true_negative
17,training_t2,0.42946708463949845,0.7965116279069767,1.0,2,0.2939914163090129,0.6666666666666666,3,0.6010733452593917,0.9767441860465116,1.0,2,0.43410852713178294,0.4,5,,
48,training_t2,0.019559264571652135,0.012752933174630166,0.125,8,0.04194630872483222,0.3333333333333333,3,0.3758406962943426,0.24230573031797314,0.375,8,0.8372502937720329,0.875,8,,
14,training_t2,0.4256254225828262,0.39221183800623055,1.0,5,0.46526237989652625,0.7142857142857143,7,0.5992111650485437,0.6152647975077882,1.0,5,0.5839739798935542,0.5,10,,
40,training_t2s,0.0,0.0,0.3333333333333333,3,0.0,0.3333333333333333,3,0.27591136526090065,0.22652582159624413,0.6666666666666666,3,0.35283363802559414,0.75,4,,
39,training_t2s,0.09092533047516971,0.05449678800856531,0.16666666666666666,6,0.27424568965517243,0.5,6,0.6561931020132133,0.6752676659528908,0.8333333333333334,6,0.6381665486188405,0.375,8,,
28,training_t2s,0.07719298245614037,0.05635245901639344,0.3333333333333333,3,0.12249443207126949,0.5,4,0.5130960376091336,0.39139344262295084,0.6666666666666666,3,0.7446393762183235,0.75,4,,
54,training_t2s,0.0,0.0,0.5,2,0.0,0.16666666666666666,6,0.0,0.0,0.5,2,,,0,,
70,training_t2s,0.4776246023329799,0.9510135135135135,1.0,2,0.3188898329085245,0.4,5,0.7207920792079208,0.6148648648648649,1.0,2,0.8708133971291866,1.0,2,,
66,training_t2s,0.06006878104700042,0.051191871824931616,0.14285714285714285,7,0.07267011834319527,0.16666666666666666,6,0.5524267020043068,0.43441448482480133,0.7142857142857143,7,0.7584716852399364,1.0,5,,
32,training_t2s,0.0,0.0,0.5,2,0.0,0.25,4,0.0,0.0,0.5,2,0.0,0.3333333333333333,3,,
18,training_t2s,0.010058916510992999,0.006860054880439044,0.2,5,0.01884760366182014,0.25,4,0.493551659179829,0.3337906703253626,0.4,5,0.9466370205669816,0.8,5,,
38,training_t2s,0.39072595971113644,0.4803738317757009,0.8333333333333334,6,0.3292761050608584,0.8571428571428571,7,0.4427128427128427,0.35841121495327105,0.8333333333333334,6,0.5788679245283019,0.75,8,,
10,training_t2s,0.375684556407448,0.33859822309970383,0.6666666666666666,3,0.4218942189421894,1.0,3,0.6429980276134122,0.6436327739387957,1.0,3,0.6423645320197044,0.5,6,,
30,training_t2s,0.02698055812723188,0.035063595737366796,0.25,4,0.021926053310404127,0.14285714285714285,7,0.6325010950503723,0.4963905122035064,0.75,4,0.8714544357272178,0.6,5,,
34,training_t2s,0.62402496099844,0.718132854578097,1.0,3,0.5517241379310345,1.0,3,0.6695130086724483,0.9008976660682226,1.0,3,0.5326963906581741,0.375,8,,
65,training_t2s,0.42552156194878654,0.5090962014262844,0.5,8,0.36551724137931035,0.375,8,0.612405129547239,0.510842672100131,0.75,8,0.7643728222996515,0.42857142857142855,14,,
59,training_t2s,0.0,0.0,0.5,2,0.0,0.25,4,0.0,0.0,0.5,2,0.0,0.25,4,,
16,training_t2s,0.0,0.0,0.3333333333333333,3,0.0,0.25,4,0.6938648396138274,0.557,1.0,3,0.9199009083402147,1.0,3,,
55,training_t2s,0.304445442299057,0.3115808823529412,0.5,4,0.2976294995610184,0.3333333333333333,6,0.6158475426278837,0.5643382352941176,1.0,4,0.6777041942604857,1.0,3,,
35,training_t2s,0.3163042529036766,0.3538491598280578,0.4,5,0.28596241907468817,0.5714285714285714,7,0.49616169468467597,0.4988276670574443,0.6,5,0.4935240672723758,0.4,5,,
13,training_t2s,0.40817319387010464,0.6793522267206478,0.75,4,0.29172461752433937,0.5,6,0.6611359285258456,0.6291497975708502,1.0,4,0.6965486329000449,0.8,5,,
36,validation,0.0,0.0,0.25,4,0.0,0.3333333333333333,3,0.222490931076179,0.14743589743589744,0.5,4,0.45320197044334976,1.0,3,,
21,validation,0.3655887586672394,0.3512143362414525,0.42857142857142855,7,0.381190019193858,0.3333333333333333,6,0.5548680191117725,0.4175901909926904,0.5714285714285714,7,0.8266044340723454,1.0,4,,
49,validation,0.45534340783639493,0.34020688256372117,1.0,3,0.688277937354671,0.7777777777777778,9,0.7536316519453975,0.6979920221756474,1.0,3,0.8189101292932498,0.6666666666666666,6,,
69,validation,0.18498282859818915,0.1684913976965733,0.42857142857142855,7,0.20505277729711022,0.5,6,0.6205402282247581,0.6108346367126404,0.8571428571428571,7,0.6305592250110084,0.6363636363636364,11,,
31,validation,0.4397515527950311,0.5650940049663001,1.0,3,0.35991866244916404,0.5,6,0.6810193321616872,0.5498403689251508,1.0,3,0.894402769763416,0.75,4,,
71,test,0.4169404892296459,0.5727181544633901,1.0,3,0.3277841561423651,0.5,6,0.6177334116265414,0.5275827482447342,1.0,3,0.7450424929178471,1.0,3,,
12,test,0.31164701205777134,0.19969434538970962,0.5,4,0.7092882991556092,1.0,3,0.5760192370750902,0.44744438784173884,0.75,4,0.808282208588957,0.6666666666666666,6,,
22,test,0.3172301425661914,0.3049812030075188,0.5,6,0.3305041588864369,0.5,8,0.6299773389446424,0.6096491228070176,0.6666666666666666,6,0.651707970529136,0.4444444444444444,9,,
29,test,0.0,0.0,0.5,2,0.0,0.2,5,0.20024125452352226,0.21727748691099477,0.5,2,0.18568232662192394,0.5,4,,
67,test,0.24884792626728114,0.24057573680603153,0.5,2,0.2577092511013216,0.5,4,0.0,0.0,0.5,2,0.0,0.16666666666666666,6,,
44,test,1.0,,,0,,,0,0.0,0.0,0.5,2,,,0,1.0,
41,test,0.4153979991300566,0.5909653465346535,1.0,3,0.32025486250838364,0.6,5,0.19465351674020248,0.23205445544554457,0.6666666666666666,3,0.16763522574877068,0.2222222222222222,9,,
45,test,0.011844832691738194,0.012102874432677761,0.5,2,0.011597564511452595,0.2,5,0.12277166330801426,0.11981845688350984,0.5,2,0.1258741258741259,0.18181818181818182,11,,
7,test,0.13919489344177904,0.125417439703154,0.3333333333333333,6,0.15637288919731668,0.2857142857142857,7,0.6361125319693095,0.5768089053803339,0.5,6,0.7090079817559863,0.6666666666666666,6,,
51,test,0.21860841423948218,0.19593908629441625,0.6666666666666666,6,0.24720951509606587,0.5,6,0.12643979057591626,0.0700507614213198,0.3333333333333333,6,0.6483221476510067,1.0,6,,
5,test,0.0,,,0,,,3,0.0,,,0,,,4,0.0,0.0
6,test,0.0,,,0,,,3,0.0,,,0,,,10,0.0,0.0
8,test,0.0,,,0,,,1,1.0,,,0,,,0,0.0,1.0
11,test,1.0,,,0,,,0,0.0,,,0,,,2,1.0,0.0
15,test,0.0,,,0,,,3,0.0,,,0,,,3,0.0,0.0
20,test,0.0,,,0,,,3,0.0,,,0,,,5,0.0,0.0
23,test,0.0,,,0,,,1,0.0,,,0,,,10,0.0,0.0
26,test,1.0,,,0,,,0,0.0,,,0,,,3,1.0,0.0
37,test,1.0,,,0,,,0,0.0,,,0,,,4,1.0,0.0
43,test,0.0,,,0,,,5,0.0,,,0,,,3,0.0,0.0
53,test,1.0,,,0,,,0,1.0,,,0,,,0,1.0,1.0
57,test,0.0,,,0,,,1,0.0,,,0,,,8,0.0,0.0
58,test,0.0,,,0,,,1,0.0,,,0,,,3,0.0,0.0
62,test,1.0,,,0,,,0,0.0,,,0,,,1,1.0,0.0
63,test,0.0,,,0,,,3,0.0,,,0,,,2,0.0,0.0
